id,EVENT_UNIQUE_ID,OCCURRENCE_DATE,OCCURRENCE_YEAR,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,PRIMARY_OFFENCE,HOOD_158,ARREST_MADE,MULTIPLE_BIAS
23,803169,2022-06-30,2022,Public,TRUE,FALSE,White,African,English,Other,Gay,Male,Vandalism,144,FALSE,TRUE
24,818952,2019-12-12,2019,Commercial,TRUE,TRUE,South Asian,Arab,Arabic,Muslim,None,Male,Vandalism,122,FALSE,TRUE
25,508623,2018-12-31,2018,Other,TRUE,TRUE,White,Israeli,Arabic,Buddhist,2SLGBT,Transgender,Vandalism,121,TRUE,TRUE
26,877962,2019-11-29,2019,Public,TRUE,FALSE,None,Latino,English,Jewish,2SLGBT,Female,Assault,128,TRUE,TRUE
27,320432,2022-03-29,2022,Residential,TRUE,FALSE,White,Japanese,English,Muslim,Gay,Female,Assault,20,FALSE,TRUE
28,520871,2019-03-31,2019,Public,FALSE,TRUE,Asian/Southeast Asian,African,Spanish,Buddhist,2SLGBT,Transgender,Harassment,91,FALSE,TRUE
29,805261,2020-12-05,2020,Commercial,TRUE,FALSE,None,None,Spanish,Jewish,2SLGBT,Male,Harassment,116,FALSE,TRUE
30,703907,2023-08-28,2023,Public,TRUE,FALSE,White,Arab,Spanish,Christian,None,Transgender,Vandalism,60,TRUE,TRUE
31,566350,2018-12-20,2018,Other,FALSE,FALSE,Black,Arab,Mandarin,Other,Gay,Male,Vandalism,67,FALSE,TRUE
32,547698,2019-04-08,2019,Other,FALSE,FALSE,Asian/Southeast Asian,None,None,None,Gay,Male,Harassment,92,FALSE,TRUE
33,396798,2022-06-07,2022,Other,FALSE,FALSE,None,Japanese,Mandarin,Muslim,2SLGBT,Female,Vandalism,146,FALSE,TRUE
34,205690,2020-01-01,2020,Public,TRUE,FALSE,South Asian,Latino,Spanish,None,Gay,None,Assault,37,TRUE,TRUE
35,596437,2023-10-25,2023,Commercial,TRUE,FALSE,Black,Afghan,None,Christian,Gay,None,Assault,123,TRUE,TRUE
36,342020,2023-08-09,2023,Public,TRUE,FALSE,White,None,Mandarin,Jewish,None,Male,Harassment,106,FALSE,TRUE
37,764105,2021-06-02,2021,Commercial,FALSE,TRUE,White,None,Hindi,Other,Gay,None,Assault,44,FALSE,TRUE
38,934239,2021-05-13,2021,Commercial,FALSE,TRUE,South Asian,Israeli,English,Christian,Gay,None,Assault,35,TRUE,TRUE
39,544995,2022-07-13,2022,Other,FALSE,FALSE,Asian/Southeast Asian,Chinese,Hindi,Jewish,Gay,None,Vandalism,101,TRUE,TRUE
40,489771,2020-07-13,2020,Residential,FALSE,FALSE,None,Japanese,None,Jewish,2SLGBT,Transgender,Threat,47,TRUE,TRUE
41,405951,2020-08-15,2020,Other,TRUE,FALSE,White,Latino,None,Buddhist,Gay,Transgender,Vandalism,51,FALSE,TRUE
42,206908,2019-08-26,2019,Other,TRUE,FALSE,South Asian,Latino,None,Buddhist,None,Male,Assault,90,TRUE,TRUE
43,105620,2021-04-26,2021,Commercial,TRUE,FALSE,South Asian,None,Mandarin,Other,Gay,None,Threat,96,FALSE,TRUE
44,798818,2019-08-11,2019,Residential,TRUE,FALSE,South Asian,None,Arabic,Buddhist,2SLGBT,None,Threat,77,FALSE,TRUE
45,109999,2019-08-10,2019,Other,FALSE,FALSE,South Asian,African,None,Jewish,2SLGBT,Transgender,Threat,134,TRUE,TRUE
46,407995,2019-12-03,2019,Other,TRUE,FALSE,None,Latino,English,None,None,None,Vandalism,25,FALSE,TRUE
47,492785,2021-09-10,2021,Public,TRUE,TRUE,South Asian,Arab,Spanish,Other,None,Transgender,Vandalism,70,FALSE,TRUE
48,625063,2022-03-25,2022,Public,TRUE,FALSE,Black,Afghan,Spanish,Christian,2SLGBT,None,Threat,81,TRUE,TRUE
49,366615,2023-03-10,2023,Residential,FALSE,FALSE,Black,Latino,Arabic,None,2SLGBT,Male,Harassment,58,FALSE,TRUE
50,170322,2023-11-07,2023,Other,TRUE,FALSE,Asian/Southeast Asian,Afghan,None,Jewish,Gay,Transgender,Vandalism,130,FALSE,TRUE
51,294892,2018-07-31,2018,Commercial,TRUE,TRUE,South Asian,Chinese,English,Muslim,2SLGBT,Female,Assault,1,FALSE,TRUE
52,450109,2020-05-14,2020,Public,TRUE,TRUE,White,None,None,Muslim,Gay,Transgender,Threat,2,FALSE,TRUE
53,804486,2022-11-15,2022,Other,TRUE,FALSE,Black,Chinese,English,Muslim,Gay,Female,Assault,91,FALSE,TRUE
54,160024,2020-11-24,2020,Commercial,FALSE,FALSE,Black,Israeli,English,None,None,Male,Assault,46,TRUE,TRUE
55,774948,2023-10-30,2023,Commercial,TRUE,FALSE,Asian/Southeast Asian,Chinese,Mandarin,Other,2SLGBT,Transgender,Assault,88,FALSE,TRUE
56,740987,2021-09-03,2021,Public,TRUE,FALSE,Asian/Southeast Asian,None,Arabic,None,2SLGBT,Female,Vandalism,83,FALSE,TRUE
57,217261,2019-05-30,2019,Other,FALSE,FALSE,None,None,Arabic,Jewish,None,Female,Vandalism,75,FALSE,TRUE
58,410596,2022-04-16,2022,Other,TRUE,FALSE,Asian/Southeast Asian,Israeli,Hindi,Buddhist,None,Female,Threat,55,TRUE,TRUE
59,293253,2022-02-15,2022,Public,TRUE,TRUE,South Asian,Chinese,Hindi,Other,Gay,Female,Harassment,111,TRUE,TRUE
60,671717,2021-12-30,2021,Public,TRUE,TRUE,Asian/Southeast Asian,Chinese,Arabic,Christian,2SLGBT,Female,Vandalism,71,FALSE,TRUE
61,540029,2023-08-03,2023,Commercial,FALSE,TRUE,White,Japanese,None,Muslim,2SLGBT,None,Threat,157,FALSE,TRUE
62,746989,2023-03-02,2023,Other,FALSE,FALSE,Asian/Southeast Asian,Arab,Mandarin,Other,None,None,Harassment,133,FALSE,TRUE
63,616749,2018-07-03,2018,Residential,TRUE,TRUE,White,African,Spanish,Christian,Gay,Transgender,Assault,105,FALSE,TRUE
64,391192,2019-09-25,2019,Commercial,FALSE,TRUE,White,Chinese,None,Muslim,Gay,Male,Vandalism,39,TRUE,TRUE
65,776698,2023-05-17,2023,Commercial,TRUE,FALSE,White,Israeli,English,Muslim,None,Transgender,Threat,43,TRUE,TRUE
66,188710,2022-12-17,2022,Commercial,TRUE,TRUE,Asian/Southeast Asian,Israeli,Mandarin,Buddhist,Gay,None,Harassment,124,TRUE,TRUE
67,168730,2023-03-31,2023,Other,TRUE,FALSE,White,Chinese,Spanish,Buddhist,Gay,None,Harassment,153,FALSE,TRUE
68,574581,2019-04-19,2019,Other,FALSE,FALSE,South Asian,Israeli,Spanish,Jewish,None,None,Threat,28,FALSE,TRUE
69,610411,2018-07-21,2018,Commercial,FALSE,FALSE,South Asian,Latino,Hindi,Buddhist,None,Transgender,Assault,97,FALSE,TRUE
70,737582,2018-02-21,2018,Residential,TRUE,TRUE,South Asian,Chinese,English,Muslim,None,Transgender,Threat,44,TRUE,TRUE
71,605305,2020-10-19,2020,Residential,TRUE,FALSE,White,Israeli,Mandarin,Muslim,2SLGBT,None,Threat,13,FALSE,TRUE
72,981681,2021-05-08,2021,Residential,TRUE,TRUE,Black,African,None,Muslim,2SLGBT,None,Harassment,35,FALSE,TRUE
73,968108,2018-05-23,2018,Commercial,TRUE,FALSE,White,Afghan,None,Jewish,Gay,Transgender,Harassment,146,TRUE,TRUE
74,151106,2021-04-16,2021,Residential,TRUE,TRUE,South Asian,Arab,Mandarin,None,None,Male,Threat,96,FALSE,TRUE
75,370370,2021-07-06,2021,Commercial,FALSE,FALSE,Black,Israeli,None,Muslim,2SLGBT,Male,Assault,138,TRUE,TRUE
76,840614,2023-06-09,2023,Other,TRUE,TRUE,White,African,Mandarin,Other,2SLGBT,Male,Assault,61,FALSE,TRUE
77,737375,2022-01-12,2022,Residential,TRUE,FALSE,Black,Arab,English,Christian,2SLGBT,None,Threat,105,TRUE,TRUE
78,275766,2022-12-25,2022,Other,TRUE,TRUE,Asian/Southeast Asian,Japanese,Spanish,Jewish,2SLGBT,Female,Vandalism,112,TRUE,TRUE
79,431703,2019-06-03,2019,Commercial,FALSE,TRUE,Asian/Southeast Asian,Afghan,Mandarin,Jewish,2SLGBT,Male,Harassment,144,FALSE,TRUE
80,298302,2020-05-22,2020,Commercial,TRUE,TRUE,None,Afghan,Spanish,Buddhist,None,Male,Vandalism,17,TRUE,TRUE
81,235068,2018-12-13,2018,Public,TRUE,FALSE,South Asian,African,Hindi,Buddhist,2SLGBT,Female,Assault,98,FALSE,TRUE
82,845225,2020-06-21,2020,Public,FALSE,TRUE,None,None,English,Jewish,Gay,Male,Harassment,97,FALSE,TRUE
83,445333,2019-03-06,2019,Residential,FALSE,FALSE,South Asian,African,Arabic,Other,2SLGBT,Male,Threat,94,TRUE,TRUE
84,911417,2020-11-07,2020,Residential,TRUE,TRUE,South Asian,Japanese,Arabic,Jewish,None,None,Threat,59,TRUE,TRUE
85,935439,2021-05-21,2021,Residential,TRUE,TRUE,None,None,Spanish,Other,2SLGBT,Transgender,Threat,34,FALSE,TRUE
86,229436,2018-12-12,2018,Public,TRUE,FALSE,Asian/Southeast Asian,None,English,Christian,2SLGBT,None,Assault,82,FALSE,TRUE
87,978379,2022-02-26,2022,Residential,FALSE,FALSE,White,Afghan,None,Muslim,2SLGBT,Transgender,Threat,91,TRUE,TRUE
88,143411,2021-10-08,2021,Residential,FALSE,TRUE,Asian/Southeast Asian,Arab,None,Buddhist,Gay,None,Vandalism,97,TRUE,TRUE
89,248003,2018-06-16,2018,Commercial,TRUE,TRUE,None,Israeli,Arabic,Jewish,None,Female,Vandalism,90,FALSE,TRUE
90,242883,2018-09-12,2018,Public,FALSE,FALSE,None,Afghan,None,Jewish,Gay,Female,Vandalism,114,FALSE,TRUE
91,806010,2018-07-25,2018,Public,FALSE,TRUE,South Asian,Japanese,None,Christian,Gay,Transgender,Threat,156,FALSE,TRUE
92,441705,2020-02-29,2020,Commercial,TRUE,TRUE,White,Arab,Hindi,Jewish,Gay,Transgender,Harassment,153,TRUE,TRUE
93,417922,2018-11-06,2018,Commercial,TRUE,FALSE,None,Japanese,Arabic,None,None,Female,Threat,147,TRUE,TRUE
94,124519,2022-07-29,2022,Commercial,FALSE,TRUE,White,Arab,English,None,2SLGBT,None,Threat,135,TRUE,TRUE
95,150465,2022-09-04,2022,Public,FALSE,TRUE,White,Arab,Mandarin,Buddhist,2SLGBT,None,Vandalism,70,FALSE,TRUE
96,946825,2023-08-20,2023,Public,FALSE,FALSE,None,Afghan,English,Muslim,2SLGBT,None,Vandalism,127,TRUE,TRUE
97,551849,2020-04-15,2020,Public,FALSE,TRUE,White,African,English,Other,Gay,None,Vandalism,87,TRUE,TRUE
98,266458,2018-04-07,2018,Commercial,FALSE,TRUE,Asian/Southeast Asian,Israeli,English,Buddhist,Gay,Transgender,Vandalism,115,FALSE,TRUE
99,858986,2021-11-24,2021,Other,FALSE,FALSE,South Asian,Israeli,Spanish,Christian,Gay,Transgender,Assault,49,FALSE,TRUE
100,857353,2021-10-01,2021,Commercial,FALSE,TRUE,Asian/Southeast Asian,Latino,English,Other,Gay,Female,Threat,37,TRUE,TRUE
101,380297,2023-08-22,2023,Other,TRUE,FALSE,White,None,English,Christian,2SLGBT,Male,Vandalism,63,TRUE,TRUE
102,839189,2020-05-04,2020,Other,TRUE,FALSE,None,None,Hindi,Buddhist,Gay,Female,Assault,122,TRUE,TRUE
103,113456,2022-05-15,2022,Residential,FALSE,TRUE,None,Japanese,Arabic,Other,2SLGBT,None,Harassment,105,FALSE,TRUE
104,546338,2022-05-24,2022,Public,TRUE,FALSE,South Asian,Latino,English,Muslim,None,Transgender,Harassment,76,FALSE,TRUE
105,934591,2023-02-22,2023,Other,FALSE,TRUE,None,Chinese,Arabic,Buddhist,Gay,Female,Harassment,105,FALSE,TRUE
106,912921,2020-07-01,2020,Other,FALSE,TRUE,White,None,Arabic,None,None,Transgender,Assault,127,FALSE,TRUE
107,520125,2022-08-24,2022,Other,FALSE,TRUE,Asian/Southeast Asian,Chinese,English,Muslim,Gay,Male,Harassment,118,TRUE,TRUE
108,909151,2022-06-11,2022,Commercial,TRUE,FALSE,None,Latino,Hindi,Muslim,Gay,Male,Threat,54,TRUE,TRUE
109,509139,2018-09-18,2018,Public,TRUE,FALSE,None,Japanese,Mandarin,Jewish,None,Female,Harassment,15,FALSE,TRUE
110,974908,2021-03-07,2021,Commercial,FALSE,FALSE,Black,Arab,None,Other,Gay,None,Assault,13,FALSE,TRUE
111,132136,2020-09-19,2020,Other,FALSE,TRUE,None,Latino,Hindi,Jewish,Gay,None,Vandalism,44,FALSE,TRUE
112,347126,2023-04-11,2023,Other,FALSE,FALSE,South Asian,Latino,English,Buddhist,Gay,Female,Harassment,43,TRUE,TRUE
113,321409,2022-07-14,2022,Other,FALSE,TRUE,Asian/Southeast Asian,Afghan,None,Jewish,Gay,Male,Vandalism,133,TRUE,TRUE
114,474076,2021-09-12,2021,Public,FALSE,TRUE,None,Japanese,English,None,None,Female,Vandalism,82,TRUE,TRUE
115,167720,2021-07-10,2021,Commercial,TRUE,TRUE,South Asian,Chinese,Spanish,None,2SLGBT,Male,Harassment,125,TRUE,TRUE
116,673771,2020-06-17,2020,Residential,TRUE,FALSE,South Asian,None,Hindi,Jewish,Gay,Male,Harassment,149,FALSE,TRUE
117,501429,2020-04-04,2020,Other,FALSE,TRUE,None,None,English,None,None,Transgender,Assault,7,FALSE,TRUE
118,707783,2022-03-13,2022,Public,TRUE,TRUE,Black,African,English,Other,2SLGBT,Male,Threat,91,FALSE,TRUE
119,504562,2023-02-15,2023,Other,TRUE,TRUE,None,Arab,Arabic,None,Gay,Male,Vandalism,25,TRUE,TRUE
120,990338,2020-11-19,2020,Commercial,FALSE,FALSE,Asian/Southeast Asian,Latino,Arabic,Muslim,2SLGBT,Transgender,Threat,18,TRUE,TRUE
121,481390,2020-03-05,2020,Other,FALSE,TRUE,White,Arab,English,Christian,2SLGBT,None,Assault,51,FALSE,TRUE
122,173498,2018-07-29,2018,Other,FALSE,TRUE,Black,Afghan,English,None,2SLGBT,Male,Assault,137,TRUE,TRUE
123,563520,2022-09-07,2022,Residential,FALSE,FALSE,Black,Arab,Hindi,Buddhist,2SLGBT,Male,Assault,66,TRUE,TRUE
124,297742,2023-10-31,2023,Other,TRUE,FALSE,South Asian,Chinese,Arabic,Christian,Gay,Female,Assault,53,TRUE,TRUE
125,988905,2023-03-23,2023,Public,FALSE,FALSE,Asian/Southeast Asian,Japanese,English,Other,Gay,None,Harassment,157,FALSE,TRUE
126,791259,2023-06-17,2023,Other,FALSE,FALSE,Black,Japanese,Spanish,Christian,Gay,Female,Threat,30,TRUE,TRUE
127,483206,2022-11-25,2022,Other,FALSE,TRUE,Black,Afghan,None,Other,Gay,None,Threat,152,FALSE,TRUE
128,361331,2018-09-10,2018,Public,TRUE,TRUE,White,Japanese,Spanish,Other,Gay,Male,Threat,67,TRUE,TRUE
129,854289,2019-12-28,2019,Public,TRUE,FALSE,South Asian,Afghan,None,Muslim,2SLGBT,Transgender,Harassment,82,TRUE,TRUE
130,325269,2020-11-29,2020,Commercial,TRUE,TRUE,South Asian,Arab,Spanish,Buddhist,2SLGBT,Female,Harassment,54,TRUE,TRUE
131,146459,2022-08-28,2022,Other,TRUE,TRUE,South Asian,None,Hindi,None,Gay,Male,Threat,70,TRUE,TRUE
132,820503,2021-04-08,2021,Public,TRUE,TRUE,None,Latino,Mandarin,Other,None,Transgender,Threat,81,FALSE,TRUE
133,122268,2022-03-05,2022,Commercial,TRUE,FALSE,South Asian,Afghan,Arabic,Jewish,None,Transgender,Vandalism,13,FALSE,TRUE
134,885572,2018-09-05,2018,Other,TRUE,FALSE,None,Latino,English,Jewish,None,None,Threat,17,FALSE,TRUE
135,353936,2023-10-23,2023,Commercial,TRUE,TRUE,Asian/Southeast Asian,Arab,Arabic,None,None,Transgender,Harassment,60,TRUE,TRUE
136,310458,2022-06-01,2022,Residential,TRUE,TRUE,Black,Arab,Mandarin,None,2SLGBT,Female,Threat,67,TRUE,TRUE
137,587182,2023-01-17,2023,Residential,TRUE,TRUE,None,Chinese,None,Buddhist,2SLGBT,None,Threat,113,FALSE,TRUE
138,257159,2020-01-17,2020,Commercial,TRUE,FALSE,Asian/Southeast Asian,Arab,Hindi,Christian,Gay,Transgender,Assault,139,FALSE,TRUE
139,555446,2019-06-02,2019,Other,TRUE,FALSE,South Asian,Chinese,Hindi,Jewish,2SLGBT,Female,Vandalism,7,TRUE,TRUE
140,839513,2021-05-26,2021,Public,TRUE,TRUE,South Asian,Israeli,Spanish,Other,Gay,Transgender,Harassment,12,TRUE,TRUE
141,429915,2022-06-03,2022,Other,TRUE,TRUE,Black,Latino,English,None,2SLGBT,Male,Harassment,144,FALSE,TRUE
142,411316,2023-08-14,2023,Commercial,FALSE,TRUE,Black,Afghan,Spanish,Buddhist,2SLGBT,Female,Threat,32,TRUE,TRUE
143,942538,2022-01-02,2022,Commercial,TRUE,TRUE,White,African,None,Other,None,Transgender,Threat,137,FALSE,TRUE
144,138079,2019-08-22,2019,Residential,FALSE,FALSE,White,Latino,Arabic,None,Gay,None,Harassment,92,TRUE,TRUE
145,768160,2018-01-20,2018,Residential,TRUE,FALSE,Asian/Southeast Asian,Chinese,English,Muslim,Gay,Female,Threat,130,FALSE,TRUE
146,999773,2019-03-08,2019,Other,FALSE,TRUE,South Asian,Chinese,Hindi,Christian,None,None,Vandalism,14,FALSE,TRUE
147,636570,2020-10-17,2020,Public,FALSE,FALSE,Black,African,Arabic,Other,2SLGBT,Transgender,Vandalism,44,FALSE,TRUE
148,231286,2019-04-28,2019,Commercial,TRUE,FALSE,None,Arab,English,Buddhist,2SLGBT,Male,Harassment,56,FALSE,TRUE
149,488119,2023-10-27,2023,Public,FALSE,FALSE,Asian/Southeast Asian,Arab,Mandarin,Jewish,None,None,Threat,46,FALSE,TRUE
150,779325,2022-07-06,2022,Residential,TRUE,TRUE,Black,Japanese,Mandarin,None,2SLGBT,Male,Harassment,39,TRUE,TRUE
151,772439,2018-03-17,2018,Residential,FALSE,TRUE,Black,None,English,Other,Gay,Transgender,Threat,48,FALSE,TRUE
152,217698,2023-12-06,2023,Commercial,FALSE,TRUE,Asian/Southeast Asian,Latino,Arabic,Christian,2SLGBT,Female,Assault,129,TRUE,TRUE
153,855316,2022-05-18,2022,Commercial,FALSE,FALSE,South Asian,Chinese,Hindi,None,None,Transgender,Harassment,114,FALSE,TRUE
154,795357,2019-11-05,2019,Commercial,FALSE,FALSE,White,Chinese,English,Muslim,None,None,Harassment,9,TRUE,TRUE
155,738471,2022-10-08,2022,Commercial,TRUE,TRUE,South Asian,Israeli,None,Muslim,None,None,Vandalism,116,TRUE,TRUE
156,713595,2023-10-18,2023,Other,TRUE,FALSE,None,African,Hindi,Other,Gay,None,Harassment,14,FALSE,TRUE
157,894839,2022-04-16,2022,Commercial,FALSE,TRUE,Asian/Southeast Asian,Arab,Arabic,Other,2SLGBT,Female,Harassment,50,TRUE,TRUE
158,427736,2022-11-19,2022,Public,TRUE,TRUE,Black,African,Hindi,Muslim,Gay,Transgender,Assault,58,FALSE,TRUE
159,601464,2021-08-01,2021,Public,TRUE,TRUE,White,Japanese,Hindi,Buddhist,None,None,Vandalism,154,TRUE,TRUE
160,443545,2021-05-28,2021,Residential,TRUE,TRUE,Black,Chinese,None,Other,2SLGBT,None,Threat,19,TRUE,TRUE
161,859901,2023-11-27,2023,Commercial,FALSE,TRUE,Asian/Southeast Asian,Israeli,Spanish,Muslim,2SLGBT,None,Threat,40,TRUE,TRUE
162,929454,2022-04-28,2022,Other,FALSE,FALSE,None,Chinese,English,Muslim,Gay,Transgender,Assault,87,TRUE,TRUE
163,334014,2022-06-21,2022,Public,TRUE,TRUE,Asian/Southeast Asian,Chinese,None,Jewish,Gay,Male,Threat,99,TRUE,TRUE
164,297564,2020-09-23,2020,Other,FALSE,TRUE,White,Japanese,English,Other,None,Male,Vandalism,34,FALSE,TRUE
165,658413,2023-03-22,2023,Other,TRUE,TRUE,Asian/Southeast Asian,Arab,Spanish,Muslim,Gay,Female,Assault,26,TRUE,TRUE
166,645570,2020-11-06,2020,Residential,FALSE,FALSE,None,Japanese,Spanish,Buddhist,None,Male,Assault,137,TRUE,TRUE
167,795044,2021-10-01,2021,Commercial,TRUE,FALSE,None,None,Mandarin,Other,Gay,Female,Threat,24,FALSE,TRUE
168,781804,2018-01-06,2018,Commercial,TRUE,FALSE,South Asian,Japanese,Mandarin,Buddhist,None,Transgender,Harassment,80,TRUE,TRUE
169,528832,2019-08-21,2019,Commercial,FALSE,FALSE,White,African,Spanish,Jewish,None,Transgender,Assault,21,FALSE,TRUE
170,231845,2021-06-24,2021,Public,TRUE,TRUE,Black,Israeli,Hindi,Muslim,2SLGBT,Male,Vandalism,58,TRUE,TRUE
171,586052,2022-06-22,2022,Commercial,TRUE,FALSE,Black,Latino,None,Christian,None,Male,Vandalism,60,TRUE,TRUE
172,320325,2021-02-19,2021,Residential,FALSE,TRUE,Asian/Southeast Asian,Afghan,Spanish,Muslim,None,None,Threat,141,TRUE,TRUE
173,921999,2018-12-07,2018,Other,TRUE,TRUE,Asian/Southeast Asian,Israeli,Mandarin,Muslim,2SLGBT,None,Assault,105,TRUE,TRUE
174,960698,2021-03-08,2021,Residential,FALSE,TRUE,Black,Japanese,None,Buddhist,Gay,None,Vandalism,70,TRUE,TRUE
175,919850,2023-05-14,2023,Public,TRUE,FALSE,White,Chinese,English,Christian,2SLGBT,None,Threat,107,FALSE,TRUE
176,208794,2018-10-23,2018,Commercial,FALSE,FALSE,None,Chinese,Hindi,None,2SLGBT,None,Assault,124,FALSE,TRUE
177,359282,2023-04-26,2023,Other,FALSE,TRUE,South Asian,African,Mandarin,Muslim,Gay,None,Threat,152,TRUE,TRUE
178,266747,2020-03-29,2020,Commercial,FALSE,TRUE,White,None,Arabic,None,Gay,Male,Harassment,17,FALSE,TRUE
179,222839,2022-05-27,2022,Public,FALSE,TRUE,Black,Israeli,None,Muslim,2SLGBT,Transgender,Vandalism,52,FALSE,TRUE
180,808671,2018-06-05,2018,Public,FALSE,TRUE,White,Japanese,Hindi,Jewish,None,Transgender,Threat,32,FALSE,TRUE
181,564013,2021-11-25,2021,Commercial,FALSE,TRUE,Asian/Southeast Asian,Chinese,Mandarin,Muslim,None,None,Threat,94,TRUE,TRUE
182,585374,2021-07-06,2021,Commercial,FALSE,FALSE,Black,Latino,Hindi,None,Gay,Transgender,Threat,53,TRUE,TRUE
183,112172,2021-03-22,2021,Other,FALSE,TRUE,None,Israeli,Arabic,Jewish,Gay,Transgender,Vandalism,147,FALSE,TRUE
184,897865,2021-11-04,2021,Other,FALSE,TRUE,Asian/Southeast Asian,Chinese,English,Buddhist,2SLGBT,Male,Vandalism,30,FALSE,TRUE
185,183263,2022-10-13,2022,Residential,FALSE,TRUE,Asian/Southeast Asian,Afghan,Hindi,Jewish,2SLGBT,Male,Vandalism,11,FALSE,TRUE
186,537551,2022-10-09,2022,Public,FALSE,FALSE,South Asian,Japanese,Spanish,Buddhist,None,None,Assault,92,TRUE,TRUE
187,274454,2019-04-05,2019,Commercial,TRUE,FALSE,White,Afghan,None,None,Gay,Transgender,Harassment,73,TRUE,TRUE
188,408139,2018-03-24,2018,Other,TRUE,TRUE,Black,Afghan,Spanish,Jewish,Gay,Transgender,Harassment,122,TRUE,TRUE
189,406861,2018-12-06,2018,Commercial,FALSE,FALSE,None,Japanese,Mandarin,Other,2SLGBT,Transgender,Threat,36,FALSE,TRUE
190,237484,2023-12-25,2023,Other,FALSE,TRUE,Asian/Southeast Asian,Arab,Arabic,Buddhist,Gay,Female,Assault,1,TRUE,TRUE
191,861218,2021-08-08,2021,Other,TRUE,TRUE,Black,Afghan,Hindi,Christian,None,Male,Harassment,126,TRUE,TRUE
192,737426,2020-08-15,2020,Commercial,FALSE,FALSE,Asian/Southeast Asian,African,Hindi,Buddhist,2SLGBT,None,Assault,89,FALSE,TRUE
